Other Character Lines,Gandalf Lines
"Help! Someone help him! GANDALF wakes with a start! Just as ARAGORN enters, and wrenches the PALANTIR from PIPPIN'S HANDS . . . PIPPIN FALLS to the FLOOR! . . . ARAGORN spins away, reeling backwards, the PALANTIR falling from his HANDS . . . The PALANTIR rolls across the FLOOR, causing EVERYONE in the room to COWER BACK.                                    ; ANGLE ON: GANDALF throws a BLANKET over it, ANGRY DISBELIEF on his face! He rounds on PIPPIN.                    ,","And there Saruman must remain, under your guard, Treebeard."
(disjointed) A tree ... There was a white tree . . . in a courtyard of stone . . . It was dead! FLASH INSERT: A lone white tree silhouetted by flames. PIPPIN (cont'd) The city was burning ...,(quietly) No. He has no power any more. THE OLD ENT nods his head wisely . . .
(terrified) I saw . . . I saw him . . . I could hear his voice in my head.,"(urgent) Peregrin Took! I'll take that, my lad! PIPPIN doesn't move, his eyes staring in wonder at the smooth black stone ... GANDALF (cont'd) Quickly, now! RELUCTANTLY, PIPPIN hands the PALANTIR to GANDALF ... who immediately smothers it in his cloak. ANGLE ON: GANDALF looks back at PIPPIN . . . troubled."
,No word ... nothing.
"THEODEN stands in the GOLDEN HALL, gravely listening to GANDALF ... ARAGORN, LEGOLAS, and GIMLI look on . . .",Do we know that?
(low and urgent) I will go.,"(with a small smile) That Frodo is alive. (to himself) Yes - yes, he is alive."
They must be warned.,Fool of a Took! GANDALF lifts the HOBBIT'S SLUMPED HEAD.
,Minas Tirith??? (to PIPPIN) Is that what you saw?
(nervous) How far is Minas Tirith?,And what did you tell him? Speak!
GANDALF spurs the GREAT HORSE forward.,What did you tell him about Frodo and the Ring?
"ANGLE ON: SHADOWFAX powers along the COUNTRYSIDE. ANGLE ON: PIPPIN, huddled in front of GANDALF, the WIND sailing through his hair.","There was no lie in Pippin's eyes; a fool, but an honest fool he remains. He told Sauron nothing of Frodo and the Ring. ANGLE ON: GIMLI lets out a sigh of relief."
"ANGLE ON: SHADOWFAX gallops up onto a LOW RIDGE . . . ANGLE ON: Before them is the DARK MASS of Mount Mindolluin, its tall WHITE FACE whitening in the RISING SUN. Upon its out- thrust knee is the Guarded City: MINAS TIRITH. With SEVEN WALLS OF WHITE STONE, so strong and old that it seems to have been not built, MINAS TIRITH looks carven by giants out of the bones of the earth.",(hurried) No!
". (whisper) It's the tree.           , (hurrying after GANDALF) Gandalf! Gandalf!","They will be. (low voice, to Aragorn) You must come to Minas Tirith by another ra ... od (cryptic) Follow the river, look to the black ships. (louder, to all) Understand this . . . things are now in motion that cannot be undone. GANDALF turns on his heel . . . and stares at a surpirsed"
,"Of all the inquisitive Hobbits, Peregrin, Took, you are the worst. Hurry, hurry! PIPPIN catches up to MERRY."
"Boromir died to save us . . . my kinsman and me . . . he fell, defending us from many foes. CLOSE ON: DENETHOR pain flickers in his eyes.",Three days ride as the Nazgul flies and you'd better hope we don't have one of those on our tail. MERRY thrusts a SMALL PACKAGE into PIPPIN'S HAND . . .
"I offer you my service, such as it is, in payment of this debt. DENETHOR looks at PIPPIN blankly, overcome with grief.:","Run Shadowfax, show us the meaning of haste."
"(softly) You think you are wise, Mithrandir, yet for all your subtleties.you have not wisdom. Do you think the eyes of the White Tower are blind? I have seen more than you know. With your left hand you would use me as a shield against Mordor and with your right you would seek to supplant me. CLOSE ON: GANDALF looks shocked, DENETHOR'S eyes NARROW. DENETHOR (cont'd) (contemptuous) I know who rides with Theoden of Rohan. Oh, yes. Word has reached my ears of this Aragorn, son of Arathorn, and I tell you now, I will not bow to this Ranger from the North - last of a ragged house, long bereft of Lordship.",We have just passed into the realm of Condor!
"(explosive) The rule of Condor is mine, and no others! CLOSE ON: PIPPIN, horrified. GANDALF looks at Denethor closely for a moment, then turns on his heel to leave, PIPPIN follows.","Minas Tirith . . . City of the Kings. Suddenly the SUN climbs over the eastern hills,     and sends forth a SHAFT OF SUNLIGHT that GLEAMS against th    e face of the CITY. The TOWER OF ECTHELION stands high within     the topmost walls. WHITE BANNERS break and FLUTTER from the     BATTLEMENTS in the morning breeze."
"So, I imagine this is just a ceremonial position . . . I mean, they don't actually expect me to do any fighting . . . do they? WIDE: GANDALF STANDING QUIETLY on a BALCONY that overlooks the GREAT CITY.","Yes, the white tree of Gondor. The tree of the King. GANDALF leads PIPPIN across a FLAT COURT of WHITE STONES, surrounded by GREEN LAWNS . . . towards a GREAT HALL benejath the GLEAMING TOWER.                                         ' \ GANDALF (cont'd) Lord Denethor, however, is not the King. He is a steward only. A caretaker of the throne. GANDALF lowers his voice, as they approach the TOWER HALL."
It's so quiet. GANDALF watches the young HOBBIT.,"Hail, Denethor, Son of Ecthelion, Lord and Steward of Gondor. DENETHOR does not look up as GANDALF and PIPPIN approach. GANDALF (cont'd) I come with tidings in this dark hour - and with counsel. DENETHOR slowly raises COLD EYES . . ."
,(hurried whisper) Pippin! PIPPIN drops to his knee offering DENETHOR his SWORD . . .
"(grim) Our enemy is almost ready, his full strength gathered. Not only Ores, but men as well. INSERT IMAGE: GIANT MUMAKIL carrying ARMIES upon their backs GANDALF V/0 (cont'd) Legions of Haradrim from the South ...... INSERT IMAGE: CORSAIR SHIPS sail up the RIVER . . . GANDALF V/0 (cont'd) Mercenaries from the coast . . . All will answer Mordor' s call. ANGLE ON: GANDALF . . . he is almost talking to himself now .. like a man unable to prevent a sure disaster.","(to PIPPIN) Get up! (a ddre ssin g D ENET HOR) My Lord, there will be a time to grieve for Boromir, but it is not now. War is coming ... the Enemy is on your doorstep. As Steward, you are charged with the defence of this city. Where are Condor's armies? DENETHOR gaze turns slowly on GANDALF . . ."
"Sauron    has yet to reveal his deadliest servant    . . . The one who will lead Mordor's armies    in war, the one they say no living man can    kill. CLOSE ON: GANDALF still staring intently as if facing his enemy in .person.",(stung) Authority is not given to you to deny the return of the King - Steward!
,"Come. GANDALF and PIPPIN stride from the TOWER HALL ... DENETHOR slumps back into his SEAT. Final Revision - October, 2003 33."
"ANGLE ON: GANDALF . . . thinking, calculating . . .","You're in the service of the Steward now - you're going to have to do as you're told, Peregrin Took . . . (under his breath) Guard of the Citadel!"
"ANGLE ON: GANDALF striding BACK STREETS of the CITY . . . so DETERMINED and PURPOSEFUL is he, that PIPPIN has to RUN to keep up. GANDALF suddenly stops and looks down at PIPPIN . . .",It's the deep breath before the plunge.
"ANGLE ON: The BEACON glows BRIGHTLY on the slopes of MOUNT MINDOLLUIN, high above MINAS TIRITH ... PULL BACK: GANDALF hurries to the BATTLEMENT, looking further west along the WHITE MOUNTAINS.","There never was much hope. PIPPIN looks up at him, unnerved. GANDALF gives him a small self-deprecating smile . . . GANDALF (cont'd) Just a fool's hope. GANDALF and PIPPIN share a quiet moment as they stare out towards the FIERY SKY over MORDOR . . ."
"(yelling) The beacon! The beacon at Amon Din is lit! FLASH INSERT: DENETHOR staring·at the BEACON from the CITADEL WINDOW . . . a look of BLACK FURY on his face. ANGLE ON: GANDALF, a strange smile plays on his face . . .",This will be the end of Gondor as we know it. Here the hammerstroke will fall hardest. INSERT IMAGE: The BATTLE-SCARRED CITY of OSGILIATH - last bastion between MINAS TIRITH and MORDOR . . .
It is as the Lord Denethor predicted - long has he foreseen this doom!,The Witchking of Angmar . . . (he looks down at a startled
,(quiet) We come to it at last ... the great battle of our time.
"In Ithilien, not two days ago. Gandalf - they are taking the road to the Morgul Vale.","(to himself) The board is set, the pieces are moving."
What does that mean? What's wrong?,"Peregrin Took, my lad, there is a task to be done. Another opportunity for one of the Shire-folk to prove their great worth! GANDALF kneels down and looks at PIPPIN earnestly, his hand on PIPPIN'S shoulder. GANDALF (cont'd) You must not fail me. GANDALF watches as PIPPIN hurries away."
"ANGLE ON: FARAMIR leading a COLUMN of 200 KNIGHTS through the STREETS towards the CITY GATE ... PEOPLE are rushing forward, THROWING FLOWERS over the KNIGHTS. CLOSE ON: GANDALF hurries alongside FARAMIR'S HORSE.",(to himself) Amon Din ... come on . . . ANGLE ON: a bright FIRE ignites on a DISTANT MOUNTAIN PEAK.
"(deadened) Where does my allegiance lie if not here? GANDALF reads the PAIN in FARAMIR'S eyes . . . he calls after him, trying one more time to stop the YOUNG MAN.",(to himself) Hope is kindled.
ANGLE ON: GANDALF spins around and ADDRESSES the SOLDIERS:,Foreseen and done nothing! FARAMIR suddenly STARES at PIPPIN. GANDALF reads the surprise in his eyes. GA ND ALF (c on t'd ) Faramir? ... This is not the first halfling to have crossed your path ... FARAMIR shakes his head.
ANGLE ON: GANDALF GALLOPS down the WINDING LABYRINTHINE STREETS on SHADOWFAX . . . against the flow of FLEEING SOLDIERS.,Where? When?
"ANGLE ON: SHADOWFAX bounds up STAIRS onto the LEVEL ONE BATTLEMENTS ... GANDALF looks at the approaching ORC ARMY, now less than 50 yards from the WALLS of the CITY!","(shocked realisation) . . . And then the Pass of Cirith Ungol. CLOSE ON: GANDALF, deeply troubled."
,(urgent) Faramir . . . Tell me everything.
"(stupor) They called us out to fight . . . PIPPIN looks on stunned, as a HUGE ORC leaps towards him . . . GANDALF intercepts the BEAST, striking him with his STAFF ...",Faramir! Your father's will has turned to madness! Do not throw away your life so rashly!
"GROND thuds against the MINAS TIRITH GATE . . . sending a -: VIBRATION running through the city!                         ;: ANGLE ON: GANDALF, on SHADOWFAX, leads SEVERAL HUNDRED GONDORIAN FOOT SOLDIERS down through the streets.","Your father loves you, Faramir! (quietly) And will remember it before the end."
,(yell) Prepare for battle!!
(yelling) Gandalf? ... Gandalf? AMIDST the FLEEING SOLDIERS ...,(yelling) Return to your posts!
"As ORC run through the STREETS, MEN, WOMEN, and CHILDREN flee . . . The PITCHED BATTLE continues . . .",(angry yell) Send these foul beasts into the abyss! QUICK CUTS: MIGHTY WOODEN CATAPULTS positioned within the walls of MINAS TIRITH are fired!
PIPPIN (cont'd) (breathless) Denethor has lost his mind! He's burning Faramir alive! GANDALF pulls PIPPIN onto SHADOWFAX.,"(rallying) Stand to your posts! Do not give in to fear. Fight! QUICK CUTS: MIGHTY WOODEN CATAPULTS positioned within the walls of MINAS TIRITH are fired! The NAZGUL circle LOW over the CITY, like VULTURES seeking doomed men's flesh. SOLDIERS are plucked into the AIR by SHRIEKING NAZGUL and dropped to their DEATHS hundreds of FEET BELOW. TOWERS and BUILDINGS are DESTROYED. CHAOS as SOLDIERS, WOMEN and CHILDREN DODGE falling MASONRY."
"Set a fire in our flesh! BUNDLES of OIL-SOAKED wood are STACKED all around them. SERVANTS are holding FLAMING TORCHES, awaiting their orders ... DENETHOR nods to them: The SERVANTS approach the PYRE, TORCHES held firmly. AT THAT MOMENT: GANDALF and PIPPIN burst into the HALLOWS, astride SHADOWFAX!","(urgency) This is no place for a Hobbit! GANDALF welds his STAFF, cutting through the attacking ORC with EASE ... BEHIND him, an ORC prepares to cut down GANDALF ... PIPPIN instinctively slashes his SWORD at him. ANGLE ON: GANDALF turns on PIPPIN, smiling despite himself. GANDALF (cont'd) Guard of the Citadel, indeed! Now, back up the hill - quickly! Quickly!"
(quiet) I didn't think it would end this way . . . GANDALF looks at the SMALL HOBBIT a beat.,To the Gates! Man the Gates!
"What, Gandalf? See what?","(commanding) Steady! Steady! SUDDENLY the FEARSOME HEAD protrudes into the MINAS TIRITH! GANDALF (cont'd) You are soldiers of Gondor! No matter what comes through that gate you will stand your ground! Within MOMENTS the GATE is smashed and GIANT CAVE TROLLS enter into the FIRST CIRCLE of MINAS TIRITH, under the archway that no enemy had ever passed! GANDALF (cont'd) (yelling) Fire! ROWS of ARCHERS fire off a VOLLEY of ARROWS but the TROLLS continue to SMASH the FOOT SOLDIERS with their giant CLUBS ... ORCS swarm through the OPENING and the PITCHED, HAND-TO- HAND BATTLE spills into FLAMES and BLACKENED, SMOULDERING BUILDINGS . . . through the streets of MINAS TIRITH. ANGLE ON: With a ROAR, GANDALF leads a COUNTER ATTACK on SHADOWFAX, followed by SEVERAL HUNDRED GONDORIAN FOOT "" """
"(quiet) Well, that isn't so bad.",Pull back - to the second level! Hurry! Get the women and children out of here - get them out!
"CLOSE ON: GANDALF stands in the TOWER HALL . . . seemingly alone . . . he speaks quietly, doubt and fear edge his voice.","Fight! Fight for your lives! SUDDENLY! in the midst of the BATTLE, GANDALF turns . . . SHRILL and CLEAR come the sounds of DISTANT HORNS! Off the SIDE of MOUNT MILLDOLLUIN, they dimly ECHO - WAR HORNS of the west ... ROHAN HAS COME!"
"If Sauron had the .Ring, we would know it. CLOSE ON: GANDALF - still troubled, still worried . . .",Come! Quickly!
Let him stay there. Let him rot. Why should we care? GANDALF looks across at the DWARF . . . His face ashen.,(yelling) Stay this madness! The fearful SERVANTS back away from the PYRE ...
No. GANDALF looks up sharply at ARAGORN . . . ARAGORN (cont'd) There is still hope for Frodo. He needs time and safe passage across the Plains of Gorgoroth. We can give him that.,"(gently) End? No, the journey doesn't end here."
A diversion . . . CLOSE ON: GANDALF speaks in a low tone to ARAGORN . . .,"White shores ... And beyond . . . A far green country under a swift sunrise. PIPPIN stares up at the OLD WIZARD'S FACE, softened, quiet and full of peace . . ."
GANDALF places the CROWN upon ARAGORN'S head.,"(gently) No . . . No, it isn't."
"I think I'm quite ready for another adventure. BILBO walks down toward the BOAT and BOARDS with ELROND . . . ANGLE ON: FRODO looks up . . . GALADRIEL is watching him. She SMILES, TURNS and BOARDS the BOAT . . . GANDALF kneels before SAM, MERRY and PIPPIN - who are all looking TEARFUL.","Frodo has passed beyond my sight. The darkness is deepening. He turns and crosses the HALL to reveal the presence of GIMLI, LEGOLAS, EOMER and ARAGORN . . . ARAGORN, his back to GANDALF . . ."
,
,
,
,
,
,
